stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\HENRY\source\repos\Conta-Strike\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Users\HENRY\source\repos\Conta-Strike\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:272  al_install_system                [   0.00000] Allegro version: 5.2.10
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.00099] Starting DirectSound...
audio-dsound D           dsound.cpp:288  _dsound_open                     [   0.04369] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:77   get_window                       [   0.04386] Using desktop window: 000000000001000C
audio    I              audio.c:391  do_install_audio                 [   0.04418] Using DirectSound driver
audio-dsound D           dsound.cpp:322  _dsound_allocate_voice           [   0.04438] Allocating voice
audio-dsound D           dsound.cpp:381  _dsound_allocate_voice           [   0.04447] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.04454] added dtor for voice 000002326DA02060, func 00007FFD70491177
dtor     D               dtor.c:196  _al_register_destructor          [   0.04465] added dtor for mixer 000002326DA1E590, func 00007FFD70491497
audio-dsound D           dsound.cpp:477  _dsound_start_voice              [   0.04473] Starting voice
audio-dsound D           dsound.cpp:505  _dsound_start_voice              [   0.04484] CreateSoundBuffer
audio-dsound D           dsound.cpp:513  _dsound_start_voice              [   0.04733] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:519  _dsound_start_voice              [   0.04753] Starting _dsound_update thread
audio-dsound I           dsound.cpp:529  _dsound_start_voice              [   0.04771] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.04803] added dtor for sample_instance 000002326DA2D600, func 00007FFD70491235
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04817] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04825] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04832] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04845] added dtor for sample_instance 000002326DA351C0, func 00007FFD70491235
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04855] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04861] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04869] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04876] added dtor for sample_instance 000002326DA3F5C0, func 00007FFD70491235
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04885] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04891] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04899] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04907] added dtor for sample_instance 000002326DA3F980, func 00007FFD70491235
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04913] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04920] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04926] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04935] added dtor for sample_instance 000002326DA402C0, func 00007FFD70491235
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04949] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04957] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04963] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04975] added dtor for sample_instance 000002326DA41DF0, func 00007FFD70491235
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04983] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04990] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04998] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05004] added dtor for sample_instance 000002326DA414C0, func 00007FFD70491235
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05010] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05018] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05025] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05032] added dtor for sample_instance 000002326DA41CA0, func 00007FFD70491235
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05039] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05047] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05054] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05061] added dtor for sample_instance 000002326DA41F40, func 00007FFD70491235
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05070] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05076] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05081] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05087] added dtor for sample_instance 000002326DA41A00, func 00007FFD70491235
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05094] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05100] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05106] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05113] added dtor for sample_instance 000002326DA41610, func 00007FFD70491235
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05121] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05128] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05134] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05141] added dtor for sample_instance 000002326DA42090, func 00007FFD70491235
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05148] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05153] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05162] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05168] added dtor for sample_instance 000002326DA421E0, func 00007FFD70491235
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05175] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05182] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05187] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05195] added dtor for sample_instance 000002326DA41760, func 00007FFD70491235
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05201] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05208] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05214] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05226] added dtor for sample_instance 000002326DA418B0, func 00007FFD70491235
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05234] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05241] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05247] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05253] added dtor for sample_instance 000002326DA41B50, func 00007FFD70491235
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05261] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05267] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05273] 
system   D            wsystem.c:836  maybe_parent_dir                 [   0.05302] Also searching C:\Users\HENRY\source\repos\Conta-Strike\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.05323] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:797  load_library_at_path             [   0.05333] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:800  load_library_at_path             [   0.05804] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.15148] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.15400] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.15417] al_display=000002326F9BE020
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.15427] al_display->vt=000002326F9BE900
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.15773] found 160 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.15789] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.15800] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.15809] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.15819] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.15828] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15842] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.15850] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
